candidate_id,dataset,feature_width,fmt_base_average_precision,fmt_base_f1,fmt_feature,fmt_spatial_average_precision,fmt_spatial_f1,gain_base_average_precision,gain_base_f1,gain_spatial_average_precision,gain_spatial_f1,group,raw_pca_base_average_precision,raw_pca_base_f1,raw_pca_spatial_average_precision,raw_pca_spatial_f1,robust_mean_gain,robust_min_gain
c00_kin2,halfcylinderRe640,12,0.8161389242711746,0.7917823431426985,kin2,0.7699042233456663,0.7648327939590076,0.3253190932198783,0.29343718947839587,0.4415563979919541,0.38096971327441104,halfcylinder,0.49081983105129634,0.4983451536643026,0.3283478253537122,0.38386308068459657,0.3603205984911598,0.29343718947839587
c01_kin4,halfcylinderRe640,28,0.8960275593244313,0.8381932532875929,kin4,0.8763233186344919,0.8343357025697102,0.1305024464309048,0.1364173806605261,0.17961537826909957,0.2245562203070065,halfcylinder,0.7655251128935265,0.7017758726270668,0.6967079403653923,0.6097794822627037,0.16777285641688425,0.1305024464309048
c02_kin6,halfcylinderRe640,44,0.9108893583751226,0.8571428571428571,kin6,0.9080785763507929,0.8407428249859313,0.130205814799791,0.1432125088841506,0.19664147596576564,0.21555909152194308,halfcylinder,0.7806835435753317,0.7139303482587065,0.7114371003850273,0.6251837334639883,0.17140472279291258,0.130205814799791
c03_all_kin2,halfcylinderRe640,173,0.822938437421021,0.7909859154929577,fmt_all+kin2,0.8066654955855193,0.7675040085515767,0.07332688597064674,0.0971874658805546,0.10230461520685408,0.11940545472190345,halfcylinder,0.7496115514503743,0.6937984496124031,0.7043608803786652,0.6480985538296733,0.09805610544498972,0.07332688597064674
c04_all_kin4,halfcylinderRe640,189,0.8834024872397103,0.8275862068965517,fmt_all+kin4,0.8703516655180983,0.8150134048257373,0.1514598404358034,0.1479745564111148,0.17454351728688344,0.17173223914845714,halfcylinder,0.7319426468039069,0.6796116504854369,0.6958081482312148,0.6432811656772801,0.1614275383205647,0.1479745564111148
c05_aivd1w3,halfcylinderRe640,8,0.9630933966592341,0.9016393442622951,aivd1w3,0.9523408186721307,0.8908785674314493,0.4655208195925385,0.41548209066318104,0.6174390432506479,0.5314315628231544,halfcylinder,0.4975725770666956,0.48615725359911405,0.3349017754214828,0.35944700460829493,0.5074683790823805,0.41548209066318104
c06_aivd2w4,halfcylinderRe640,10,0.9620235182399038,0.900117508813161,aivd2w4,0.9495543998664263,0.8866442199775533,0.4468101709545663,0.38941087069752933,0.6139954261821929,0.5092486425819759,halfcylinder,0.5152133472853375,0.5107066381156317,0.3355589736842334,0.3773955773955774,0.48986627760406615,0.38941087069752933
c07_aivd2w8,halfcylinderRe640,10,0.9591918878545909,0.8978185993111366,aivd2w8,0.946127481304429,0.885227896760022,0.44397854056925334,0.38711196119550495,0.6105685076201957,0.5078323193644446,halfcylinder,0.5152133472853375,0.5107066381156317,0.3355589736842334,0.3773955773955774,0.48737283218734967,0.38711196119550495
c08_aivd4w8,halfcylinderRe640,14,0.9573964660785176,0.8966704936854191,aivd4w8,0.9462529862087328,0.8766519823788547,0.4553196584358816,0.3879495634528609,0.6033128108455161,0.4858763010371356,halfcylinder,0.502076807642636,0.5087209302325582,0.3429401753632167,0.3907756813417191,0.4831145834428486,0.3879495634528609
c09_aivd4w16,halfcylinderRe640,14,0.9582393068924688,0.8966725043782837,aivd4w16,0.9550185481999539,0.8834154351395731,0.4561624992498329,0.38795157414572556,0.6120783728367372,0.492639753797854,halfcylinder,0.502076807642636,0.5087209302325582,0.3429401753632167,0.3907756813417191,0.4872080500075374,0.38795157414572556
