candidate_id,family_macro_base_average_precision_gain,family_macro_base_f1_gain,family_macro_spatial_average_precision_gain,family_macro_spatial_f1_gain,feature_width,fmt_feature,group,robust_mean_family_macro_gain,robust_min_family_macro_gain
c17_all_aivd2w8,0.22812748730745758,0.19507242267216107,0.45223556211291494,0.2882616177311702,171,fmt_all+aivd2w8,smokeBuoyancy,0.29092427245592595,0.19507242267216107
c12_aivd2w8log,0.2984751653758939,0.2661466875546179,0.28376242835741516,0.1900442496418815,10,aivd2w8log,smokeBuoyancy,0.2596071327324521,0.1900442496418815
c07_aivd2w8,0.300171154352347,0.26754675218687296,0.284728916720408,0.1898493254673853,10,aivd2w8,smokeBuoyancy,0.2605740371817533,0.1898493254673853
c06_aivd2w4,0.3052205829135215,0.27627663434235383,0.2889861894332514,0.18653811469933423,10,aivd2w4,smokeBuoyancy,0.26425538034711527,0.18653811469933423
c05_aivd1w3,0.3211936017051077,0.28306714998384963,0.29223486370839713,0.18540357144220165,8,aivd1w3,smokeBuoyancy,0.27047479670988905,0.18540357144220165
c04_all_kin4,0.21905770006678527,0.18540068623305161,0.4668521971714497,0.3004623266275147,189,fmt_all+kin4,smokeBuoyancy,0.2929432275247003,0.18540068623305161
c03_all_kin2,0.2138797526715136,0.18270410571024065,0.4492988913819385,0.27424624555772104,173,fmt_all+kin2,smokeBuoyancy,0.28003224883035344,0.18270410571024065
c01_kin4,0.234922718058575,0.1870423673180832,0.27979903442069853,0.1824178747354327,28,kin4,smokeBuoyancy,0.22104549863319736,0.1824178747354327
c14_aivdq4w16,0.23461216630187653,0.19796399587811853,0.2825070567743172,0.17723986634897482,28,aivdq4w16,smokeBuoyancy,0.22308077132582177,0.17723986634897482
c00_kin2,0.31378266767151364,0.2464823527840715,0.29098927509636474,0.17635315697235732,12,kin2,smokeBuoyancy,0.25690186313107677,0.17635315697235732
c10_aivd6w16,0.2573705515542475,0.18620653651126717,0.24249910073095127,0.34346398098874176,18,aivd6w16,tangaroa,0.2573850424463019,0.18620653651126717
