pool,profile,architecture,points,sampling,augmentation,id,parameters,center_policy,neighbors,encoder_dimensions,standard_convolution,graph_message_passing,current_status
p17,h0,original,48,uniform,jitter_rotate15,c088,79170,every_valid_line,fps6,160,False,False,historical_multicenter_not_singlecenter
p17,h0,original,48,uniform,jitter_rotate_so3,c089,79170,every_valid_line,fps6,160,False,False,historical_multicenter_not_singlecenter
p17,h0,original,48,curvature,none,c090,79170,every_valid_line,fps6,160,False,False,historical_multicenter_not_singlecenter
p17,h0,original,48,curvature,jitter,c091,79170,every_valid_line,fps6,160,False,False,historical_multicenter_not_singlecenter
p17,h0,original,48,curvature,rotate15,c092,79170,every_valid_line,fps6,160,False,False,historical_multicenter_not_singlecenter
p17,h0,original,48,curvature,rotate_so3,c093,79170,every_valid_line,fps6,160,False,False,historical_multicenter_not_singlecenter
p17,h0,original,48,curvature,jitter_rotate15,c094,79170,every_valid_line,fps6,160,False,False,historical_multicenter_not_singlecenter
p17,h0,original,48,curvature,jitter_rotate_so3,c095,79170,every_valid_line,fps6,160,False,False,historical_multicenter_not_singlecenter
p21,h0,original,32,uniform,none,c096,88514,every_valid_line,fps6,233,False,False,historical_multicenter_not_singlecenter
p21,h0,original,32,uniform,jitter,c097,88514,every_valid_line,fps6,233,False,False,historical_multicenter_not_singlecenter
p21,h0,original,32,uniform,rotate15,c098,88514,every_valid_line,fps6,233,False,False,historical_multicenter_not_singlecenter
p21,h0,original,32,uniform,rotate_so3,c099,88514,every_valid_line,fps6,233,False,False,historical_multicenter_not_singlecenter
p21,h0,original,32,uniform,jitter_rotate15,c100,88514,every_valid_line,fps6,233,False,False,historical_multicenter_not_singlecenter
p21,h0,original,32,uniform,jitter_rotate_so3,c101,88514,every_valid_line,fps6,233,False,False,historical_multicenter_not_singlecenter
p21,h0,original,32,curvature,none,c102,88514,every_valid_line,fps6,233,False,False,historical_multicenter_not_singlecenter
p21,h0,original,32,curvature,jitter,c103,88514,every_valid_line,fps6,233,False,False,historical_multicenter_not_singlecenter
p21,h0,original,32,curvature,rotate15,c104,88514,every_valid_line,fps6,233,False,False,historical_multicenter_not_singlecenter
p21,h0,original,32,curvature,rotate_so3,c105,88514,every_valid_line,fps6,233,False,False,historical_multicenter_not_singlecenter
p21,h0,original,32,curvature,jitter_rotate15,c106,88514,every_valid_line,fps6,233,False,False,historical_multicenter_not_singlecenter
p21,h0,original,32,curvature,jitter_rotate_so3,c107,88514,every_valid_line,fps6,233,False,False,historical_multicenter_not_singlecenter
p21,h0,original,48,uniform,none,c108,88514,every_valid_line,fps6,233,False,False,historical_multicenter_not_singlecenter
p21,h0,original,48,uniform,jitter,c109,88514,every_valid_line,fps6,233,False,False,historical_multicenter_not_singlecenter
p21,h0,original,48,uniform,rotate15,c110,88514,every_valid_line,fps6,233,False,False,historical_multicenter_not_singlecenter
p21,h0,original,48,uniform,rotate_so3,c111,88514,every_valid_line,fps6,233,False,False,historical_multicenter_not_singlecenter
p21,h0,original,48,uniform,jitter_rotate15,c112,88514,every_valid_line,fps6,233,False,False,historical_multicenter_not_singlecenter
p21,h0,original,48,uniform,jitter_rotate_so3,c113,88514,every_valid_line,fps6,233,False,False,historical_multicenter_not_singlecenter
p21,h0,original,48,curvature,none,c114,88514,every_valid_line,fps6,233,False,False,historical_multicenter_not_singlecenter
p21,h0,original,48,curvature,jitter,c115,88514,every_valid_line,fps6,233,False,False,historical_multicenter_not_singlecenter
p21,h0,original,48,curvature,rotate15,c116,88514,every_valid_line,fps6,233,False,False,historical_multicenter_not_singlecenter
p21,h0,original,48,curvature,rotate_so3,c117,88514,every_valid_line,fps6,233,False,False,historical_multicenter_not_singlecenter
p21,h0,original,48,curvature,jitter_rotate15,c118,88514,every_valid_line,fps6,233,False,False,historical_multicenter_not_singlecenter
p21,h0,original,48,curvature,jitter_rotate_so3,c119,88514,every_valid_line,fps6,233,False,False,historical_multicenter_not_singlecenter
